"","remoteness","state","value","year","measure"
"1","Major Cities","New South Wales","5373687","2011","Estimated Resident Population_persons"
"2","Major Cities","New South Wales","34066","2011","Deaths_no."
"3","Major Cities","New South Wales","np","2011","Infant mortality rate_rate"
"4","Major Cities","New South Wales","np","2011","Standardised death rate_rate"
"5","Major Cities","New South Wales","np","2011","Median age at death_years"
"6","Major Cities","New South Wales","5448022","2012","Estimated Resident Population_persons"
"7","Major Cities","New South Wales","33250","2012","Deaths_no."
"8","Major Cities","New South Wales","np","2012","Infant mortality rate_rate"
"9","Major Cities","New South Wales","np","2012","Standardised death rate_rate"
"10","Major Cities","New South Wales","np","2012","Median age at death_years"
"11","Major Cities","New South Wales","5535597","2013","Estimated Resident Population_persons"
"12","Major Cities","New South Wales","34069","2013","Deaths_no."
"13","Major Cities","New South Wales","3.3","2013","Infant mortality rate_rate"
"14","Major Cities","New South Wales","5.4","2013","Standardised death rate_rate"
"15","Major Cities","New South Wales","82","2013","Median age at death_years"
"16","Major Cities","New South Wales","5627414","2014","Estimated Resident Population_persons"
"17","Major Cities","New South Wales","35391","2014","Deaths_no."
"18","Major Cities","New South Wales","3.2","2014","Infant mortality rate_rate"
"19","Major Cities","New South Wales","5.4","2014","Standardised death rate_rate"
"20","Major Cities","New South Wales","82.2","2014","Median age at death_years"
"21","Major Cities","New South Wales","5723253","2015","Estimated Resident Population_persons"
"22","Major Cities","New South Wales","36234","2015","Deaths_no."
"23","Major Cities","New South Wales","3.3","2015","Infant mortality rate_rate"
"24","Major Cities","New South Wales","5.4","2015","Standardised death rate_rate"
"25","Major Cities","New South Wales","82.3","2015","Median age at death_years"
"26","Major Cities","New South Wales","5825821","2016","Estimated Resident Population_persons"
"27","Major Cities","New South Wales","35660","2016","Deaths_no."
"28","Major Cities","New South Wales","3","2016","Infant mortality rate_rate"
"29","Major Cities","New South Wales","5.3","2016","Standardised death rate_rate"
"30","Major Cities","New South Wales","82.5","2016","Median age at death_years"
"31","Major Cities","New South Wales","5930874","2017","Estimated Resident Population_persons"
"32","Major Cities","New South Wales","35408","2017","Deaths_no."
